,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
123,5.26,3.26,250.93,-74.75,-93.8,-178,-1.01,0.5,1.59
124,-12.1,17.7,265.27,-32.24,-88.06,28,-0.57,0.12,1.26
125,-47.9,26.57,259.61,10.96,35.03,20.24,-0.41,-0.27,0.46
126,-30.22,2.4,233.26,100.8,53.59,-46.8,-0.31,-0.54,0.54
127,9.78,-23.07,206.51,21.24,33.51,-184.3,-0.53,-0.3,0.83
128,22.71,-0.48,216.67,-62.62,-93.83,-116,-0.73,-0.22,1.24
129,-68.87,7.34,283.73,-67.63,-98.71,37.6,-0.12,-0.2,1.16
130,-15,-20.91,245.77,86.05,87.05,87.67,0.19,-0.14,0.56
131,15.6,-20,221.28,231.92,124.68,-4.6,0,-0.57,0.16
132,25.13,-7.41,217.63,104.36,-97.48,-246,-1.03,-0.31,0.87
133,2.97,46.64,266.96,-107.29,-110.26,-5,-1.08,0.48,0.72
134,-63.6,24.76,310.39,-56.79,0.58,60.24,0.28,0.1,1.43
135,-27,-14.65,286.29,31.14,45.92,97.03,0.01,-0.1,0.49
136,8.55,-9.62,261.06,235.21,205.42,11.4,-0.14,-0.76,0.35
137,8.21,17.19,265.35,216.7,-91.05,-244,-1.1,-0.36,0.46
138,-12.4,46.95,317.65,-44,-157.18,-10,-0.39,-0.34,1.01
139,-65,25.52,318.24,-52.99,22.56,32.88,0.33,-0.16,0.56
140,-22.6,-5.69,275.4,69.47,104.07,31.56,-0.11,-0.52,0.21
141,17,-30.73,261,250.13,115.59,-47,-1.29,0.59,1.27
142,-24.5,-2.65,320.83,49.94,-82.93,-250,-0.75,0.55,1.26
143,-64.1,-5.24,317.72,-120.77,-122.25,-8,-0.1,-0.04,1.1
144,-12,-57.11,276.21,-9.9,-95.37,65.44,0.58,-0.37,0.67
145,7.05,-33.26,251.9,64.08,10.74,48.21,-0.06,-0.56,0.2
146,-43.8,29.29,283.4,250.13,80.13,-87.7,-0.9,0.27,1.32
147,-57.1,30.35,290.37,37.43,-15.64,-246,-0.74,0.24,1.25
148,-2.89,-4.04,261.79,-114.57,-207.24,-4,-0.01,-0.14,0.05
149,22.6,-10.3,249.69,-41.89,85.5,27.13,-0.25,-0.55,0.56
150,-8.24,37.22,259.43,98.26,81.5,34,-1.08,0,1.43
151,-45.1,64.98,286.19,109.07,142.28,-156,-0.51,-0.21,0.77
152,-45.7,54.88,288.87,75.39,3.72,-219.76,0.43,0,1.31
153,22.73,33.09,258.52,-68.24,-130.48,-11,-0.1,-0.47,0.09
154,-0.26,82.25,307.28,5.36,-27.67,87.28,-0.14,-0.92,0.55
155,-64.7,64,358.14,88.4,187.56,-31.7,-1.31,-0.11,0.92
156,-23.2,29.13,313.92,149.94,108.84,-174,-0.41,-0.35,0.85
157,19.73,24.56,302.46,59.89,-33.94,-175,0.24,0,1.1
158,0.61,52.97,324.08,-51.52,-112.47,-34,0.03,-0.36,0.32
159,-42.4,64.63,337.64,24.43,37.42,81.17,-1.02,-0.01,0.65
160,-42.2,54.53,351.17,236.83,193.04,-1,-1.69,0.79,0.55
161,25.24,25.58,293.05,250.13,-69.84,-250,-0.16,0.16,1.11
162,12.48,20.15,293.36,-121.06,-130.77,-8,0.03,-0.32,0.25
163,10.74,70.6,318.07,12.58,-12.98,75.9,-0.46,-0.39,0.71
164,-60.6,68.94,329.56,139.62,113.44,2.36,-1.05,0.1,0.84
165,-28.2,39.42,305.67,105.59,46.97,-163,-0.85,-0.28,0.87
166,-1.49,40.08,289.64,109.96,-36.83,-161,0.08,0.54,0.71
167,-14.9,96.45,341.39,-182.47,-106.44,97,-0.14,-0.58,-0.07
168,-64.7,57.54,328.49,60.44,-19.89,48.19,-1.26,-0.45,1.02
169,11.73,32.01,296.16,148.5,197.59,41.3,-0.88,-0.13,0.99
170,11.57,32.34,305.97,98.31,-2,-234.3,0.08,-0.24,1.07
171,-69.79,3.8,336.91,-40.91,-106.54,-10,0.47,-0.39,0.55
172,-6.9,-19.61,301.37,-10.71,14.56,-5.72,-0.06,-0.57,0.22
173,15,-13.24,306.21,60.26,66.73,57.6,-1.85,0.24,1.03
174,-6.68,12.88,332.25,250.13,164.16,-57,-1.01,0.26,1.45
175,-56.3,10.48,351.61,1.69,-146.48,-250,0.51,-0.08,0.45
176,-45,-4.38,333.27,-75.85,-85.43,45.1,-0.23,-0.6,0.35
177,17.1,-20.73,293.66,95.57,3.47,44.52,-1,0.22,0.73
178,14.82,-9.04,287.38,250.13,83.94,-19.7,-0.85,0.24,1.23
179,-6,37.93,326.91,-21.52,-184.8,-25,0.24,-0.14,0.71
180,-53.8,-0.75,318.55,-86.69,-90.28,-26,-0.16,-0.47,0.35
181,11.1,-31.75,287.73,75.75,19.95,57.99,-0.65,-0.3,0.68
182,19.1,-35.53,271.01,156.89,96.31,-25.7,-1.04,0.25,0.95
183,11.7,-15.89,298.72,119.51,-13.94,-200,-0.62,-0.07,1.05
184,-43.2,-6.14,334.52,-16.57,-62.78,-173,0.46,0,0.94
185,-65,-47.24,303.62,-105.68,-62.24,66,-0.46,-0.32,-0.02
186,1.9,-48.1,283.28,27.46,34.69,56.98,-1.66,-0.49,1.14
187,22.9,-11.8,300.34,206.63,178.22,-23,-0.45,-0.7,1.27
188,-14.3,16.53,351.75,23.4,-152.23,-207,0.07,-0.04,0.8
189,-65,-2.52,362.08,-71.99,-123.53,42,-0.08,-0.61,0.19
190,-18,-37.69,308.05,-9.42,-21.31,73.39,-0.58,-0.67,0.59
191,18.4,-31.69,316.75,161.3,67.92,45.25,-1.09,0.25,0.98
192,-5.22,-0.32,351.42,189.69,28.98,-166,-0.82,0.47,0.84
193,-48,-13.73,380.43,-73.68,-172.15,-25,0.4,-0.55,0.44
194,-31,-51.91,339.87,-26.06,-6.26,7.34,-0.28,-0.28,0.38
195,20.2,-82.65,290.4,118.6,132.73,88.1,-1.08,0.71,0.47
196,13.7,-66.73,317.2,250.13,103.7,-55,-2,0.54,0.93
197,-29,-32.73,363.56,95.54,-83.58,-250,-0.09,0.16,0.66
198,-57,-67.01,363.49,-160.53,-142.56,-7,0.14,-0.39,0.31
199,-3.1,-98.06,327.03,92.05,20.47,70.99,-0.72,0.08,0.8
200,24,-100.61,323.34,189.69,114.38,-20,-1.09,0.58,1.12
201,-13,-59,362.61,168.66,-60.08,-187,-0.42,0.31,1.34
202,-62,-69.97,394.21,-103.51,-157.89,-1,0.09,-0.08,0.4
203,-28,-104.67,365.88,-141.88,-129.59,77,-0.5,-0.44,0.25
204,9.1,-129.87,327.76,160.7,43.6,53.23,-1.6,0.25,1.09
205,17,-108.86,327.61,235.41,116.73,-112,-0.88,0.01,1.17
206,-14,-74.55,377.18,57.89,-148.46,-222,0.03,-0.14,0.61
207,-58,-104.16,385.18,-85.76,-134.78,-12,0.07,-0.49,0.33
208,-22,-141.25,348.67,46.7,-24.99,92.98,-0.81,-0.23,0.76
209,17,-138.47,336,211.04,143.27,-51,-1.11,0.67,0.97
210,21,-107.1,350.95,180.79,-60.31,-239,-0.51,-0.01,1.11
211,-49,-93.34,362.77,-50.25,-154.17,-10,0.34,-0.17,0.8
212,-32,-103.14,325.36,-85.44,-105.56,32,-0.21,-0.54,0.18
213,6,-112.54,307.01,62.17,60.31,68.2,-1.51,0.19,0.88
214,9.33,-95.31,290.22,250.13,110.5,-54,-0.99,0.32,0.94
215,7.21,-56.09,317.2,90.36,-137.75,-226,0.17,-0.26,0.87
216,-38,-30.7,348.74,-81.98,-163.6,-86,0.05,-0.15,0.44
217,-65,-61.47,314.25,8.02,-10.4,69.05,-0.54,-0.86,0.29
218,-17,-64.58,292.12,122.44,98.53,81.39,-1.02,-0.08,1.11
219,29.7,-49.03,301.82,104.05,31.12,-190,-0.32,-0.19,1.11
220,-59,-21.56,356.89,-90.23,-56.73,-125,0.01,-0.18,0.83
221,-44,-52.57,342.77,-19.4,-54.12,23.3,0.02,-0.76,0.28
222,7.69,-57.38,316.39,-6.95,51.43,36.03,-0.66,-0.59,0.48
223,21.9,-41.62,320.21,160.33,135.23,27.7,-1.23,0.08,0.75
224,4.21,-6.18,341.75,177.38,83.64,-147,-0.89,0.11,0.83
225,-43,-20.12,362.37,-83.11,-135.69,-25,0.27,-0.2,0.3
226,-30,-52.77,343.54,-34.05,-16.47,-66,-0.09,-0.85,0.52
227,15,-61.81,302.7,95.02,51.08,114.51,-0.87,0.05,0.66
228,20.9,-57.58,318.59,210.89,109.12,-86,-1.35,0.25,1.09
229,-18,-38.38,357.58,103.7,-23.93,-213,-0.41,-0.23,0.87
230,-50,-71.24,347.25,2.76,-131.65,-169,0.3,-0.08,0.7
231,-10,-109.09,298.65,-49.79,-23.95,29.5,-0.01,-0.53,0.19
232,4.8,-119.3,289.34,77.61,54.02,84.73,-1.26,-0.04,0.9
233,4.55,-99.34,306.87,137.85,126.57,16.2,-1.32,0.14,0.82
234,-32,-65.84,342.55,137.12,-66.36,-169,-0.47,-0.09,0.95
235,-62,-84.47,355.18,-16.54,-137.73,-11,-0.03,-0.01,0.28
236,-29,-103.45,331.49,-108.15,-45.82,57,-0.35,-0.68,0.32
237,-0.7,-92.64,298.17,120.96,3.04,80.4,-1.15,-0.1,1.11
238,-50,-32.41,354.61,208.63,60.56,-69.7,-0.84,0.11,0.85
239,-43,-56.88,337.32,15.08,-144.89,-192,0.21,-0.14,0.89
240,-7.7,-79.22,311.34,-137.64,-160.98,-3,0.31,-0.67,0.61
241,20.1,-63.28,301.97,17.68,-55.34,18.53,-0.32,-0.67,0.19
242,3.85,-14.07,336.81,126.84,57.06,17.55,-1.61,0.2,1.17
243,-57,-44.44,371.14,191.23,109.72,-125,-0.75,0.22,0.64
244,-3.9,-66.5,324.33,103.44,-92.87,-241,-0.49,-0.39,1.22
245,26.3,-56.28,318.19,-35.35,-92.91,-111,0.35,0.04,0.26
246,-6.12,-9.38,358.36,-80.85,35.15,-2.85,-0.69,-0.34,0.59
247,-58,-41.65,359.16,145.42,126.94,87.5,-1.28,0.1,1.14
