,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
247,5.4,442.63,-131.57,-4.34,41.11,-12.86,0.26,-0.98,-0.21
248,-9,436.68,-134.1,-21.93,67.41,27.3,0.22,-1.01,-0.18
249,3.2,435.26,-133.13,3.02,59.02,-8.97,0.19,-0.91,-0.11
250,2.4,432.87,-131.02,-29.5,80.36,20.86,0.28,-0.91,0.05
251,2.3,444.21,-131.27,-19.65,49.68,-38.2,0.23,-0.95,-0.05
252,-5,445.4,-131.86,7.79,54,-30.47,0.28,-0.87,-0.16
253,0,440.88,-133.09,-22.11,84.18,12.53,0.29,-1,-0.13
254,0.7,435.15,-133.82,-1.57,63.49,9.45,0.25,-1.01,-0.15
255,-3,421.76,-132,-10.97,118.08,8.92,0.22,-0.87,0.01
256,-3,433.6,-137.04,-11.47,77.98,-22.4,0.31,-0.9,-0.04
257,3.3,430.05,-132.75,-13.29,55.01,0.17,0.31,-0.97,-0.2
258,1,428.14,-128.08,-11.67,49.5,2.83,0.21,-0.92,-0.15
259,3.5,434.26,-126.45,-1.67,17.85,-14.35,0.16,-0.95,0.06
260,-6,432.84,-123.24,-30.01,117.21,-12,0.2,-1.02,0.04
261,6.5,436.32,-128.29,7.29,57.66,12.75,0.19,-0.98,-0.1
262,-3,439.08,-127.27,9.85,62.4,3.95,0.25,-0.99,-0.24
263,-6,434.95,-124.16,-2.39,96.03,13.81,0.24,-1.02,-0.11
264,4.4,425.83,-123.84,5.33,64.99,-24.56,0.15,-0.98,-0.15
265,6.7,422.75,-122.46,-28.24,85.91,25.28,0.27,-0.95,0.12
266,-3,427.71,-123.47,-4.02,82.53,-12.05,0.09,-0.96,-0.16
267,-8,428.13,-123.27,5.88,54.38,-26.45,0.28,-0.95,-0.06
268,4.7,424.66,-124.06,-6.53,35.56,16.98,0.14,-1.03,-0.17
269,-3,427.35,-120.99,2.28,43.63,-22.12,0.06,-1.01,-0.03
270,5.2,428.14,-124.35,-11.82,83.91,26.1,0.23,-0.93,0.06
271,-8,432.69,-125.69,-11.58,89.41,-12.3,0.18,-0.97,-0.03
272,-2,426.74,-122.23,-5.86,71.21,-32.14,0.28,-0.95,-0.13
273,6,410.73,-121.25,-10.39,56.79,18.42,0.16,-0.98,-0.19
274,3.1,406.09,-121.37,4.99,80.09,-14.56,0.1,-0.93,-0.09
275,-8,408.97,-118.51,-21.38,73.91,20.23,0.19,-0.94,0.02
276,0.5,413.28,-120.06,-12.82,88.21,-30.9,0.21,-0.97,-0.23
277,0,412.21,-118.69,6.21,47.04,-9.25,0.16,-1.01,-0.15
278,0.3,404.03,-118.51,-3.18,6.14,23.15,0.16,-1.07,-0.17
279,-1,401.3,-122.35,-9.11,50.99,12.11,0.21,-1,0.03
280,-5,398.94,-122.34,3.77,79,-31.4,0.42,-1.01,0.05
281,6.3,413.67,-120.78,-13.54,85.12,2.05,0.23,-0.97,-0.18
282,-8,412.48,-117.56,-0.89,63.55,-0.86,0.24,-0.94,-0.16
283,3.8,414.72,-121.01,-5.5,34.98,1.38,0.16,-1.09,-0.08
284,3,418.74,-126.51,-22.34,56.37,-5.18,0.17,-0.98,0.01
285,0,422.41,-122.6,-7.97,57.13,-23.01,0.27,-1.04,-0.02
286,-8,433.41,-125.28,-1.71,125.11,24.47,0.24,-0.94,-0.17
287,-3,434.98,-130.77,5.77,62.86,-33.23,0.25,-1.05,-0.21
288,-1,422.44,-129.25,-19.72,76.36,15,0.16,-1.08,-0.21
289,16,413.36,-128.07,-30.09,85.66,11.69,0.1,-0.94,0.1
290,-10,419.48,-126.57,10.08,62.93,-19.69,0.36,-1.03,0.03
291,4.7,413.59,-124.32,-9.47,83.44,-2.4,0.15,-0.98,-0.12
292,1.7,400.58,-122.92,-18.8,114.73,-33,0.27,-0.98,-0.19
293,9.1,398.2,-122.01,-29.54,77.4,-12.9,0.27,-0.96,-0.12
294,-6,401.44,-124.3,-1.98,21.09,-6.78,0.19,-0.89,-0.05
295,1.7,403.94,-124.64,-5.76,35.44,61.82,0.17,-0.98,-0.02
296,1.9,397.88,-123.17,-2.79,92.76,-39.46,0.47,-0.97,-0.08
297,0.7,396.43,-122.06,1.62,44.56,18.35,0.18,-1,-0.24
298,1.4,401.72,-122.34,-2.3,16.63,6.75,0.11,-1.08,-0.15
299,-2,410.81,-122.42,3.92,43.98,-40.75,0.24,-0.91,0.01
