,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
138,-65,-15.94,-1.34,-67.02,-29.24,-2.1,1.07,-0.81,0.05
139,-39.41,23.91,1.15,22.11,156.66,1.52,0.75,-0.07,0.34
140,1.23,20.17,5.68,-14.04,85.57,-250,0.26,0.57,0.74
141,15.73,14.05,10.21,10.53,168.18,-152,0.11,0.42,0.5
142,64.78,-50.77,15.21,12.52,-8.69,4.72,0.41,-0.16,-0.29
143,44.15,-72.61,19.78,12.76,-19.82,60.72,0.41,-0.92,-0.2
144,1.04,-68.21,18.14,24.54,-250.14,250,0.21,-1.05,-0.11
145,-6.64,-48.12,34.86,30.9,-91.82,169.7,0.09,-1.14,0.31
146,0.64,7.65,93.48,8.95,7.82,3.98,0.38,-1.04,0.65
147,28.84,-6.17,114.39,82.05,70.5,-25.63,-0.21,0.35,0.18
148,-2.63,1.04,114.25,250.13,219.29,2.46,0.5,0.54,0.68
149,-22,-24.62,102.76,90.83,-58.79,111.3,0.03,0.48,0.31
150,8.83,-56.16,35.39,12.56,32.7,-10.11,0.38,-0.39,0.68
151,27.93,-61.74,2.52,-36.97,-102.56,-88,0.78,-1.32,0.52
152,2.58,-51.4,-4.24,-250.14,-126.68,34,0.35,-0.92,-0.02
153,-34,-1.14,-14.62,-117.25,-26.74,107,0.87,-1.15,-0.11
154,-64.79,48.47,0.93,-15.68,35.06,9.97,0.29,-0.35,0.08
155,-8.54,54.56,11.42,-33.69,198.24,-130,0.2,0.48,0.61
156,-0.85,52.53,16.55,68.07,205.69,-250,0.31,0.74,0.65
157,46.73,15.72,19.29,36.33,34.56,-32.83,0.33,0.19,0.34
158,64.78,-4.95,41.81,15.1,3.4,-3.27,1.85,-0.48,0.06
159,28.68,-42.31,42.54,10.15,-133.1,180,0.79,-1.18,-0.25
160,0.84,-25.81,39.61,96.01,-68.48,250.1,0.27,-0.97,-0.1
161,-35.9,-11.09,66.67,18.4,-145.15,110,1.05,-1.52,0.59
162,26.93,43.57,124.98,6.91,62.03,3.26,0.22,-0.38,0.46
